method,endpoint,description
GET,/api/users/:userId/passwords/shares', Get list of passwords shared to the user
POST,/api/users/:userId/passwords/:passwordId/shares', Share password to another user
GET,/api/users/:userId/passwords/:passwordId/shares', Get list of users the password is shared with
GET,/api/users/:userId/passwords/shared/:shareId', Get a single shared password
PUT,/api/users/:userId/passwords/shares/:shareId',	Update a shared password
GET,/api/users/:userId/passwords/shared', Get passwords the user has shared
DELETE,/api/users/:userId/passwords/shares/:shareId',Deletes shared password
