method,endpoint,description
GET,api/users/\{id\}/passwords,Get list of passwords owned by user
POST,/api/users/\{id\}/passwords,Create password owned by user
PUT,/api/users/\{id\}/passwords/\{id\},Update password owned by user
DELETE,/api/users/\{id\}/passwords/\{id\},Delete password owned by user
